IDCC
AMZN
PHOR
PII
BX
PRFN
NLMK
CNP
SVAV
CPB
MANU
AIRC
VTRS
WRLD
SFIX
GHC
OII
AKAM
DNLI
BILL
ENV
TWTR
IIPR
TPTX
ANGI
TDC
DBX
ABMD
UNAC
BAYN@DE
IRGZ
SNY
NMIH
BOX
NOC
EWBC
FLIR
TGKN
IONS
ANTM
HA
SBCF
APD
JCOM
OFIX
BK
INGR
HGV
TYL
DT
EXLS
UMBF
THO
EVER
GT
AVTR
KEX
XEL
ETSY
LEG
DXC
RGR
HBI
TRNFP
TW
REZI
SHL@DE
ONTO
ZS
SYNA
ZTS
HEAR
ADI
VMW
ITGR
BIIB
WK
ESS
MTOR
DGX
TNDM
DHR
APH
SPB@US
CFX
JPM
ADSK
MEDP
SO
PBI
EEFT
RGNX
GWW
MTSS
GWRE
VEEV
ALXN
SPSC
PATK
KROT
D
MMI
MTX@DE
BRO
XRX
KMPR
HD
STZ
LSRG
SAGE
RUSP
MED
BOKF
NET
USNA
IAC_old
ATRC
ALLO
MRTX
NOV_old
SWN
THS
RYTM
SSA@GS
UTX
CSWI
CNK
SYY
FIS
MO
AWI
W
FRHC
SNGSP
EME
UAA
LITE
CINF
CEVA
ARNC
KRYS
NMTP
SNAP
CHK
CSGS
CMP
SJI
VREX
HII
SOHU
AMG
CORT
PRSC
NTNX
MRNA
CLDR
PBF
RNG
MAGN
RRC
TSN
CENTA
GBX
XPO
CVLT
BKR
AAON
HEN3@DE
NTLA
ALSN
HLI
LSNGP
MAT
MUV2@DE
ROP
DELL
TXT
LNZLP
AXE
CALM
LEN
AEE
PEGA
BCO
LANC
HAIN
VG
SNA
KRTX
AVNS
CPRT
CBU
SIBN
NKNCP
DISCB
FAST
AA
AVGO
CRUS
EVK@DE
FISV
DVEC
NTRA
SEIC
GE
MXL
NP
VAR
NSVZ
SWKS
TPH
AGCO
CRWD
KMI
TGKBP
FLWS
AMT
COTY
ANF
PHOR@GS
ATRO
PLXS
DB1@DE
TRU
BLL
HURN
ECHO
CMC
NEM
HIBB
CE
ABC
GCO
JCI
FTR
AMN
WELL
ADS@DE
LW
TOT
PSX
TENB
ITCI
SRCL
HDS
WSO
LPSN
HEI
BBBY
EMR
GM
SLAB
CMG
KIDS
IPAR
BDTX
MRK@DE
STT
PRTK
WSM
BFYT
REGI
HPQ
ASIX
TM
GTN
LB
KO
MLCO
MKL
AAL
ZUMZ
RRGB
PM
NVTK
CL
IBP
MMM
EQT
FRPH
QNST
SRDX
TGKD
AMEZ
DSKY
PWR
EQIX
RGLD
CREE
UBER
PKI
VRSN
MTLR
NRG
UNF
COP
IBKR
ARW
DDOG
CW
FORR
TSCO
NLOK
GRMN
DLTH
SBRA
AN
XLRN
RKKE
ITRI
OC
KMX
WWE
TWOU
IBN
ARVN
LNTA
FSLR
MKSI
FTI
CTLT
QUOT
ACMR
NTUS
GKOS
PLAN
C
WM
VICR
VMI
MDRX
JBT
QCOM
BBY
AIV
MTN
CCMP
APLT
NARI
PRFT
SAFM
DWNI@DE
SAVE
ITW
TTC
MASI
EXPD
ABT
MRKS
SLP
TRUP
ILMN
FTCH
TT
AOBC
YETI
VIRT
MTCH_old
LFC
MDLA
SMPL
SLG
IRM
DKS
ORUP
HSY
MRKY
NCR
ENPL
MOMO
ISRG
PINC
DXCM
BRKS
ITT
KOD
CHD
GVA
ELS
SWI
CLH
VFC
MSGN
MDB
LYV
SYK
WBA
EMN
OLED
LDOS
EYE
LNN
NVS
L
MGLN
MRC
OLLI
DISCA
UWGN
KSU
IRDM
LGIH
ATEX
BWXT
TMO
SXI
WRK
SAIL
OSIS
MSA
AGN
CRS
EVRG
BJRI
SINA
TWLO
UHS
TIF
PMSB
RPM
UAL
TXN
WYND
STX
CHKold
CLDT
ACN
TTEK
HSIC
PEP
BLD
BELU
FESH
COST
HRC
MDMG
POLY
CBOM
RDFN
SP
GPC
MNK
J
JOBS
MPC
SPGI
HUBB
SBER@GS
MSTT
EDIT
BLDR
LECO
LLY
MYRG
NKHP
ALLK
DASB
PLTR
KFY
FRE@DE
DHER@DE
SBGI
GNRC
HOG
MANT
BC
SGEN_old
BCPC
BLKB
AXP
KIM
NSP
ENPH
SONY
IRTC
NTAP
CFR
PTON
FORM
HHC
FOLD
PRI
DRQ
COLM
NSC
WEC
CTB
SJM
ARCT
DLTR
GOOG
CTAS
GOSS
PRU
KLAC
MRKC
LCII
CNTLP
BEN
LTHM
AVP
INDB
CACC
HUM
BERY
CSCO
BVB@DE
GLTR
IRAO
JKHY
REG
K
VRSK
PRSP
CNTL
TDOC
PCTY
HES
YEXT
CLGX
ENDP
TMUS
NOK
FCX
MGY
GS
AFLT
CHL
SDGR
POST
GMED
CAG
MA
UNM
AIG
OMC
BAS@DE
FIVE
ASGN
UCTT
VRTS
OIS
ABRD
MSGS
WB
R
LKQ
BILI
CF
COHR
IOSP
TER
CPS
CNST
NVEE
